names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind
"Vitória - Centro, Espírito Santo, Brazil",Pais_Vasco,74,2024-06-30 23:13:46,0.95,78.0,2.98,,1017.0,74.02,0.36,20.67,23.0,7.2
"Vila Capixaba, Espírito Santo, Brazil",Pais_Vasco,32,2024-06-30 23:13:46,1.77,78.0,1.53,25.73,1017.0,31.97,6.25,20.91,23.0,7.2
"Enseada do Suá, Espírito Santo, Brazil",Pais_Vasco,27,2024-06-30 23:13:46,,78.0,5.83,,1017.0,26.53,11.61,25.51,23.0,7.2
"Jardim Camburi, Espírito Santo, Brazil",Pais_Vasco,25,2024-06-30 23:13:46,,94.0,,,1013.0,25.32,,,21.0,1.0
"Vila Velha - IBES, Espírito Santo, Brazil",Pais_Vasco,-,2024-06-30 23:13:46,0.74,78.0,0.4,,1017.0,,,24.53,23.0,7.2
"Vila Velha  - Centro, Espírito Santo, Brazil",Pais_Vasco,9,2024-06-30 23:13:46,,94.0,,,1018.0,9.42,,,22.0,1.5
"Los Herran, Vitoria-Gasteiz, País Vasco, Spain",Pais_Vasco,34,2024-06-30 23:13:46,,82.0,1.9,,1019.0,10.0,34.0,,15.5,3.3
"3 De Marzo, Vitoria-Gasteiz, País Vasco, Spain",Pais_Vasco,30,2024-06-30 23:13:46,0.1,82.0,3.7,,1019.0,6.0,30.0,0.6,15.5,3.3
"Av. Gasteiz, Vitoria-Gasteiz, País Vasco, Spain",Pais_Vasco,30,2024-06-30 23:13:46,0.1,82.0,3.2,,1019.0,13.0,30.0,,15.5,3.3
"Durango, Durango, Mexico",Pais_Vasco,46,2024-06-30 23:13:46,30.9,45.7,4.5,11.3,1024.6,7.0,46.0,0.1,25.5,2.5
"SRNyMA, Durango, Mexico",Pais_Vasco,72,2024-06-30 23:13:46,0.1,24.0,2.1,20.4,1021.0,36.0,72.0,9.1,31.1,0.6
"IPN, Durango, Durango, Mexico",Pais_Vasco,60,2024-06-30 23:13:46,,71.0,,,1023.8,60.0,46.0,,18.8,3.0
Western LLS Lake Victoria,Pais_Vasco,4,2024-06-30 23:13:46,,98.0,,,1015.3,3.0,4.0,,6.2,2.0
Madrid,Pais_Vasco,31,2024-06-30 23:13:46,0.1,44.3,7.8,30.5,1017.0,6.0,21.0,1.6,22.9,2.5
"Escuelas Aguirre, Madrid, Spain",Pais_Vasco,57,2024-06-30 23:13:46,0.1,44.3,4.6,30.5,1017.0,31.0,57.0,1.6,22.5,1.6
"Casa De Campo, Madrid, Spain",Pais_Vasco,36,2024-06-30 23:13:46,,44.3,2.3,36.2,1017.0,10.0,30.0,,22.5,1.6
"Mendez Alvaro, Madrid, Spain",Pais_Vasco,34,2024-06-30 23:13:46,,44.0,2.8,,1015.7,12.0,34.0,,22.9,2.5
"Plaza Elíptica, Madrid, Spain",Pais_Vasco,25,2024-06-30 23:13:46,0.1,49.0,17.4,,1016.0,15.0,25.0,,20.0,2.5
"Cuatro Caminos, Madrid, Spain",Pais_Vasco,21,2024-06-30 23:13:46,,44.3,6.4,,1017.0,10.0,21.0,,22.5,1.6
"Castellana, Madrid, Spain",Pais_Vasco,21,2024-06-30 23:13:46,,44.3,7.8,,1017.0,6.0,21.0,,22.5,1.6
"Sanchinarro, Madrid, Spain",Pais_Vasco,21,2024-06-30 23:13:46,,46.6,6.9,,1014.4,8.0,21.0,,22.4,1.3
"Palencia III, Spain",Castilla_Leon,31,2024-06-30 23:13:46,,67.5,0.5,30.5,1020.9,10.0,25.0,1.1,19.2,8.2
"Renault IV, Palencia, Spain",Castilla_Leon,13,2024-06-30 23:13:46,0.1,55.0,2.8,33.3,1013.5,3.0,13.0,1.1,15.9,8.2
"Hontoria II - Venta de Baños, Palencia, Spain",Castilla_Leon,32,2024-06-30 23:13:46,0.1,55.0,0.5,31.7,1013.5,3.0,13.0,3.6,15.9,8.2
"Guardo, Palencia, Spain",Castilla_Leon,29,2024-06-30 23:13:46,,71.2,1.4,28.9,1018.9,13.0,9.0,1.1,16.5,3.2
"C.T.G. - Villalba, Palencia, Spain",Castilla_Leon,17,2024-06-30 23:13:46,,85.0,1.0,16.7,1022.5,2.0,9.0,1.1,,0.1
"C.T.G. - Compuerto, Palencia, Spain",Castilla_Leon,16,2024-06-30 23:13:46,,85.5,0.5,16.3,1022.5,2.0,9.0,2.1,,0.1
"Hontoria I - Poblado, Palencia, Spain",Castilla_Leon,34,2024-06-30 23:13:46,0.1,55.3,0.5,34.2,1013.5,1.0,13.0,1.1,15.9,8.0
"Las Fuentes, Zaragoza, Spain",Aragón,36,2024-06-30 23:13:46,2.7,55.0,5.9,26.1,1015.4,18.0,36.0,1.0,22.0,10.0
"Avda de Soria, Zaragoza, Spain",Aragón,34,2024-06-30 23:13:46,1.6,55.0,8.8,34.0,1015.4,14.0,,0.8,22.0,10.0
"El Picarral, Zaragoza, Spain",Aragón,33,2024-06-30 23:13:46,2.4,55.0,2.0,31.3,1015.4,,33.0,,22.0,10.0
"Jaime Ferrán, Zaragoza, Spain",Aragón,32,2024-06-30 23:13:46,1.5,55.0,5.2,32.1,1015.4,14.0,,2.1,22.0,10.0
"Actur, Zaragoza, Spain",Aragón,29,2024-06-30 23:13:46,,54.5,5.2,28.5,1015.3,16.0,29.0,,22.2,11.5
"Roger de Flor, Zaragoza, Spain",Aragón,28,2024-06-30 23:13:46,1.4,55.2,5.0,27.7,1015.5,14.0,,0.9,21.9,9.7
"Renovales (Luis Vives), Zaragoza, Spain",Aragón,26,2024-06-30 23:13:46,1.0,74.0,2.9,26.1,1012.7,11.0,,1.3,21.1,6.0
"Laboratorio, Tijuana, Baja California, Mexico",Aragón,-,2024-06-30 23:13:46,,65.0,,,1010.1,,,,26.0,8.2
"FES Acatlán, México, Mexico",Aragón,42,2024-06-30 23:13:46,10.0,48.5,19.5,15.2,1030.1,42.0,,17.2,19.0,1.8
"Tlalnepantla, México, Mexico",Aragón,70,2024-06-30 23:13:46,4.5,28.0,9.3,49.6,1026.5,40.0,70.0,2.9,24.0,1.5
"Tlaneplantla, México, Mexico",Aragón,-,2024-06-30 23:13:46,,54.0,,,1007.0,,,,20.0,11.0
"Tultitlan, México, Mexico",Aragón,-,2024-06-30 23:13:46,,59.0,,,1027.7,,,,19.0,1.5
"Camarones, México, Mexico",Aragón,-,2024-06-30 23:13:46,,62.0,,,1027.4,,,,12.0,2.5
"Velódromo, Puebla, Mexico",Aragón,80,2024-06-30 23:13:46,1.2,86.6,2.1,20.8,1026.3,9.0,80.0,1.1,17.2,4.1
