names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind,Dia,Hora,periodo,calidad_aire
"L'Alcora, Valencia, Spain",Com_Valenciana,26,2024-06-25 22:35:37,,74.6,1.9,25.6,1012.5,11.0,9.0,1.6,22.2,0.6,2024-06-25,22,noche,Buena
"Benigánim, Valencia, Spain",Com_Valenciana,42,2024-06-25 22:35:37,,69.1,4.6,41.5,1009.2,,,,25.0,3.1,2024-06-25,22,noche,Buena
"Benicassim, Valencia, Spain",Com_Valenciana,9,2024-06-25 22:35:37,,74.6,1.4,14.3,1012.4,3.0,9.0,2.6,22.7,0.6,2024-06-25,22,noche,Buena
"CEA, Sagunt, Valencia, Spain",Com_Valenciana,31,2024-06-25 22:35:37,,79.0,1.9,30.9,1008.7,7.0,17.0,1.6,23.1,4.0,2024-06-25,22,noche,Buena
"Algar de Palància, Valencia, Spain",Com_Valenciana,33,2024-06-25 22:35:37,,74.8,1.9,32.9,1011.9,10.0,25.0,1.6,23.2,1.5,2024-06-25,22,noche,Buena
"Rabassa, Alacant, Valencia, Spain",Com_Valenciana,35,2024-06-25 22:35:37,,78.0,1.4,35.4,1010.0,4.0,5.0,1.6,23.0,2.5,2024-06-25,22,noche,Buena
"Vinaròs Planta, Valencia, Spain",Com_Valenciana,46,2024-06-25 22:35:37,,89.6,1.9,23.0,1028.4,11.0,46.0,,3.8,0.6,2024-06-25,22,noche,Buena
"Tarragona (Bonavista), Catalunya, Spain",Catalunya,9,2024-06-25 22:35:37,0.1,83.0,1.9,12.0,1012.0,9.0,21.0,3.1,22.0,1.5,2024-06-25,22,noche,Buena
"Perafort, Catalunya, Spain",Catalunya,8,2024-06-25 22:35:37,0.1,43.6,2.3,12.0,1010.1,8.0,21.0,1.1,28.3,,2024-06-25,22,noche,Buena
"Burgos IV, Spain",Castilla_Leon,33,2024-06-25 22:35:37,0.1,77.0,2.3,32.5,1012.0,16.0,17.0,0.6,18.0,4.6,2024-06-25,22,noche,Buena
"Burgos I, Spain",Castilla_Leon,45,2024-06-25 22:35:37,0.1,48.5,31.6,16.3,1033.5,45.0,9.0,1.6,9.5,0.7,2024-06-25,22,noche,Buena
"Medina de Pomar, Burgos, Spain",Castilla_Leon,44,2024-06-25 22:35:37,,84.5,1.9,43.5,1011.0,23.0,,2.6,20.5,0.7,2024-06-25,22,noche,Buena
"Aranda de Duero II, Burgos, Spain",Castilla_Leon,33,2024-06-25 22:35:37,,77.0,7.4,32.5,1012.0,16.0,,0.6,18.0,4.6,2024-06-25,22,noche,Buena
"Miranda de Ebro II, Burgos, Spain",Castilla_Leon,41,2024-06-25 22:35:37,,71.7,4.6,40.7,1011.5,13.0,,0.6,23.0,3.8,2024-06-25,22,noche,Buena
"Miranda de Ebro I, Burgos, Spain",Castilla_Leon,7,2024-06-25 22:35:37,,78.5,6.0,1.7,1006.0,7.0,,1.6,12.0,1.8,2024-06-25,22,noche,Buena
"El Atabal, Malaga, Spain",Andalucia,38,2024-06-25 22:35:37,,62.8,4.2,38.1,1010.2,11.0,16.0,2.1,24.1,1.8,2024-06-25,22,noche,Buena
"Carranque, Malaga, Spain",Andalucia,35,2024-06-25 22:35:37,,62.8,4.2,34.7,1010.2,13.0,16.0,1.1,24.1,1.8,2024-06-25,22,noche,Buena
"Campanillas, Malaga, Spain",Andalucia,27,2024-06-25 22:35:37,,54.0,4.2,26.6,1012.4,18.0,21.0,4.1,25.5,7.6,2024-06-25,22,noche,Buena
"Palacio De Congresos, Granada, Spain",Andalucia,61,2024-06-25 22:35:37,,32.0,6.9,42.4,1000.9,61.0,52.0,5.1,28.0,1.5,2024-06-25,22,noche,Moderada
"Ciudad Deportiva, Armilla, Spain",Andalucia,61,2024-06-25 22:35:37,,32.0,1.9,35.0,1000.9,61.0,52.0,1.6,28.0,1.5,2024-06-25,22,noche,Moderada
"Granada-norte, Granada, Spain",Andalucia,42,2024-06-25 22:35:37,,32.0,12.8,42.4,1000.9,19.0,18.0,3.6,28.0,1.5,2024-06-25,22,noche,Buena
"Segovia II, Spain",Castilla_Leon,33,2024-06-25 22:35:37,,30.0,4.2,33.3,985.4,23.0,,1.1,31.1,4.0,2024-06-25,22,noche,Buena
"Soria, Spain",Castilla_Leon,35,2024-06-25 22:35:37,,51.0,9.2,34.6,1008.0,18.0,,2.1,26.6,1.5,2024-06-25,22,noche,Buena
"Avda de Soria, Zaragoza, Spain",Castilla_Leon,38,2024-06-25 22:35:37,1.1,39.3,11.7,38.1,1009.5,17.0,,1.3,27.4,4.0,2024-06-25,22,noche,Buena
"Muriel de la Fuente, Soria, Spain",Castilla_Leon,34,2024-06-25 22:35:37,,41.3,1.9,34.2,1015.6,6.0,,2.6,21.6,3.3,2024-06-25,22,noche,Buena
"Av. Gasteiz, Vitoria-Gasteiz, País Vasco, Spain",Pais_Vasco,72,2024-06-25 22:35:37,0.1,71.7,6.4,,1011.5,21.0,72.0,,23.0,3.8,2024-06-25,22,noche,Moderada
"Los Herran, Vitoria-Gasteiz, País Vasco, Spain",Pais_Vasco,72,2024-06-25 22:35:37,,85.0,4.2,,1011.5,35.0,72.0,,18.5,2.5,2024-06-25,22,noche,Moderada
"3 De Marzo, Vitoria-Gasteiz, País Vasco, Spain",Pais_Vasco,55,2024-06-25 22:35:37,0.1,85.0,8.3,,1011.5,17.0,55.0,0.6,18.5,2.5,2024-06-25,22,noche,Moderada
