names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind
"Limburg, Germany",Castilla_Leon,33,2024-06-28T16:00:09+09:00,0.1,68.0,19.2,10.6,1017.5,15.0,33.0,0.5,21.8,0.2
"Carranque, Malaga, Spain",Andalucia,24,2024-06-28T16:03:52+09:00,,66.0,18.8,18.4,1015.1,17.0,24.0,1.1,22.2,4.0
"El Atabal, Malaga, Spain",Andalucia,24,2024-06-28T15:55:56+09:00,,66.6,15.1,22.0,1014.6,13.0,24.0,1.6,21.7,6.1
"Campanillas, Malaga, Spain",Andalucia,23,2024-06-28T16:05:47+09:00,,53.0,6.9,22.3,1014.0,17.0,23.0,2.6,23.0,3.0
"Palacio De Congresos, Granada, Spain",Andalucia,42,2024-06-28T15:55:47+09:00,,69.7,3.2,29.0,1007.5,21.0,42.0,2.6,19.0,0.5
"Ciudad Deportiva, Armilla, Spain",Andalucia,42,2024-06-28T16:04:54+09:00,,68.0,2.3,23.7,1007.8,21.0,42.0,1.6,19.4,0.5
"Granada-norte, Granada, Spain",Andalucia,29,2024-06-28T16:07:47+09:00,,68.0,12.4,29.0,1007.8,16.0,18.0,2.6,19.4,0.5
"Erie, Ohio, USA",Castilla_Mancha,30,2024-06-28T15:18:22+09:00,,77.0,,30.4,1016.9,,,,18.0,1.5
"Segovia II, Spain",Castilla_Leon,45,2024-06-28T15:55:55+09:00,,62.5,5.5,33.8,1012.7,45.0,,0.6,18.4,0.5
"Soria, Spain",Castilla_Leon,26,2024-06-28T15:55:47+09:00,,87.5,2.3,26.0,1016.0,7.0,,0.6,19.0,1.5
"Avda de Soria, Zaragoza, Spain",Castilla_Leon,18,2024-06-28T15:40:45+09:00,2.1,59.6,7.0,16.5,1016.1,18.0,,0.7,21.3,4.0
"Muriel de la Fuente, Soria, Spain",Castilla_Leon,29,2024-06-28T13:46:57+09:00,,74.5,7.8,29.3,1017.3,18.0,,1.6,14.1,1.0
"Casoria Scuola Palizzi (CAM), Casoria, Campania, Italy",Castilla_Leon,-,2024-06-28T16:06:46+09:00,,71.0,15.1,9.3,1016.0,,,,24.5,1.2
"Osservatorio Astronomico, Napoli, Campania, Italy",Castilla_Leon,35,2024-06-28T16:06:46+09:00,,78.0,1.7,34.9,1017.5,,,,24.4,0.6
"I.t.i.s. Argine, Napoli, Campania, Italy",Castilla_Leon,23,2024-06-28T16:12:49+09:00,,71.0,8.0,,1016.0,13.0,23.0,3.4,24.5,1.2
"Museo Nazionale, Napoli, Campania, Italy",Castilla_Leon,5,2024-06-28T15:44:43+09:00,,79.0,7.1,,1017.2,5.0,3.0,,23.5,0.6
"Ente Ferrovie, Napoli, Campania, Italy",Castilla_Leon,-,2024-06-28T15:58:44+09:00,,78.6,45.2,,1017.3,22.0,,0.8,23.6,0.6
"Acerra scuola Caporale, Acerra, Campania, Italy",Castilla_Leon,-,2024-06-28T14:42:50+09:00,,73.0,8.8,,1016.0,,,,22.0,2.0
"Ospedale Santobono, Napoli, Campania, Italy",Castilla_Leon,-,2024-06-28T14:42:50+09:00,,84.3,7.9,,1017.1,,,,22.5,0.3
"Boulogne Diderot, Nord-Pas-de-Calais, France",Castilla_Leon,102,2024-06-27T20:42:49+09:00,,79.5,,,1011.0,42.0,102.0,,18.0,6.1
"Outreau, Nord-Pas-de-Calais, France",Castilla_Leon,10,2024-06-27T20:59:13+09:00,,79.5,1.4,10.2,1011.0,22.0,45.0,,18.0,6.1
"Boulogne-sur-mer, Nord-Pas-de-Calais, France",Castilla_Leon,45,2022-06-21T22:19:48+09:00,,56.0,,,1013.0,23.0,45.0,,20.0,3.6
New York,Castilla_Leon,22,2024-06-28T14:38:39+09:00,,47.5,,,1016.7,,22.0,,21.1,6.1
"New York, USA",Castilla_Leon,28,2024-06-28T13:47:36+09:00,1.5,49.4,3.9,25.6,1016.1,,28.0,,21.8,8.7
